GeoAreaName;[Location];2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Differenz;Kommentar
"""Eastern Africa""";"""URBAN""";-48.47952;-48.05541;-47.77384;-47.31528;-46.50451;-45.58588;-44.58269;-43.57271;-42.53033;-41.43477;-40.27596;-39.91327;-38.65179;-37.33854;-35.97882;-34.5748;-33.11906;-31.9557;16.52382;
"""Eastern Asia""";"""URBAN""";7.752;7.80708;7.79478;7.80283;7.80844;7.83406;7.84194;7.85128;7.86662;7.88405;7.90603;7.94616;7.98203;8.01642;8.0503;8.08275;8.12755;8.18699;0.43499;
"""Landlocked developing countries (LLDCs)""";"""URBAN""";-22.58424;-22.42566;-22.30951;-21.90476;-21.54155;-21.10594;-20.65313;-20.14046;-19.61546;-19.10957;-18.56944;-18.878;-18.31374;-17.72321;-17.11952;-16.51992;-16.00355;-15.84727;6.73697;
"""Latin America and the Caribbean""";"""URBAN""";-3.80224;-3.74179;-3.94935;-3.89907;-3.84973;-3.78525;-3.7403;-3.70438;-3.67349;-3.6172;-3.55589;-3.45968;-3.35916;-3.25523;-3.15408;-3.05665;-2.95986;-2.88522;0.91702;
"""Least Developed Countries (LDCs)""";"""URBAN""";-41.15312;-40.86031;-40.76809;-40.41761;-40.05901;-39.6413;-39.11143;-38.5543;-38.01344;-37.46316;-36.90473;-36.37179;-35.77718;-35.1723;-34.56323;-33.9508;-33.43695;-32.97859;8.17453;
"""Northern America""";"""URBAN""";13.43456;13.4781;13.26686;13.31626;13.36581;13.43652;13.49172;13.55001;13.61561;13.68448;13.75898;13.85552;13.95561;14.05949;14.16265;14.26468;14.37406;14.49781;1.06325;
"""Oceania""";"""URBAN""";5.37676;5.78918;5.93532;6.3581;6.78067;7.22866;7.65833;8.08819;8.5256;8.96767;9.41725;9.89056;10.37068;10.49859;10.62156;10.73774;10.85366;10.98269;5.60593;
"""South America""";"""URBAN""";0.0743;0.16794;0.01085;0.11215;0.21297;0.33194;0.43491;0.52811;0.62821;0.73188;0.84116;0.97274;1.10914;1.2498;1.38928;1.52522;1.6541;1.78904;1.71474;
"""Southern Africa""";"""URBAN""";2.73798;2.82957;2.69124;2.81388;2.93584;3.07448;3.22605;3.37931;2.70336;2.01115;1.32412;0.65864;-0.00236;-0.65966;-1.31814;-1.97817;-2.63123;-3.27474;-6.01272;
"""Southern Asia""";"""URBAN""";-23.15902;-23.20278;-23.50846;-23.55701;-23.60291;-23.87096;-24.14507;-24.41626;-24.67807;-24.93321;-25.18128;-25.4058;-25.62505;-25.83781;-26.03951;-26.24066;-26.43349;-26.61129;-3.45227;
"""Sub-Saharan Africa (inc. Sudan)""";"""URBAN""";-43.46367;-43.3332;-43.28414;-42.99227;-42.59015;-42.10685;-41.59908;-41.07698;-40.54072;-39.97755;-39.38081;-38.96614;-38.29686;-37.60109;-36.8891;-36.17074;-35.45041;-34.63807;8.8256;
"""Western Africa""";"""URBAN""";-52.93989;-52.89676;-53.11282;-53.07322;-53.03042;-52.9638;-52.90549;-52.83737;-52.75653;-52.66852;-52.57248;-52.45076;-52.32081;-52.18369;-52.04487;-51.90463;-51.75535;-51.59187;1.34802;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"""World""";"""RURAL""";39.4361;39.92612;41.45364;42.55228;42.79121;43.03233;43.29615;43.55946;43.8296;44.8021;45.78517;46.81956;47.85402;48.89293;49.93764;50.98648;52.0242;53.03716;13.60106;
"""World""";"""ALLAREA""";61.25434;61.70454;62.83692;63.60941;63.93015;64.24246;64.56688;64.88221;65.19863;65.85203;66.49626;67.12907;67.74305;68.34628;68.94266;69.53274;70.10356;70.64488;9.39054;
"""World""";"""URBAN""";86.17919;86.13555;86.34688;86.29749;86.24792;86.18039;86.12835;86.07311;86.01056;85.94473;85.87328;85.77981;85.68166;85.57937;85.4778;85.37737;85.26961;85.14748;-1.03171;
